l,kb. 1 kereta api L (yang ditinggikan). 2 sambungan yang berbentuk L pada pipa.
"l, l",kb. 1 huruf yang keduabelas dari abjad Inggris. 2 limapuluh dalam angka Romawi.
l.,1 [left] kiri. 2 [liter] liter. 3 [low] rendah.
l.a.,[Los Angeles] kb. Kota Los Angeles.
l.c.,[Library of Congress] Perpustakaan Kongres di A.S.
"l.c., lc",[lower case] huruf kecil.
l.c.d.,[lowest common denominator] pembagi persekutuan terbesar.
l.h.d.,[Doctor of Human Letters] Doktor dalam Sastra dan Filsafat.
l.i.,[Long Island] nama pulau termasuk kota New York.
l.s.t.,[local standard time] waktu tolok setempat.
la-di-da,"ks. Sl.: sok, berlagak."
la.,[Louisiana] negarabagian A.S.
lab,Inf.: =  LABORATORY.
lab.,[laboratory] laboratorium.
label,"kb. 1 etiket (on bottle). 2 nama. to give a group a l. memberikan nama kepada kelompok. -kkt. 1 memberi etiket. 2 menamakan, memberikan nama."
labial,ks. yang berhubungan dengan bibir. l. sound bunyi bibir.
labor,"kb. 1 tenaga kerja. 2 buruh. 3 tugas. 4 kerja. hard l. a) kerja berat. b) kerja paksa. -labored ks.1 sukar, sulit.  2 dibuat-buat, tidak wajar. -laboring ks. yang bekerja."
laboratory,kb. (j. -ries) l. assistant asisten/pembantu laboran. l. technician mantri/perakit laboran.
laborer,"kb. buruh, pekerja"
laborious,"ks. sulit, yang memintakan banyak tenaga, susah payah."
labyrinth,kb. 1 suatu susunan yang membingungkan. 2 Anat.: labirin.
lace,kb. 1 renda. 2 (shoe) tali. -kkt. 1 mengikat tali (sepatunya). 2 menyusur. -lacing kb. Inf.: hantaman.
lacerate,"kkt. menoyakkan, mencabit. His feet were locerated by the lava Kakinya koyak kena lahar. -lacerated ks. koyak. l. wound luka yang koyak."
laceration,laceration
lachrymal,ks. yang berhubungan dengan air mata. l. gland kelenjar air mata.
lachrymose,ks. yang membuat airmata meleleh/bercucuran (karena mengharukan/memilukan).
lack,"kb. 1 kekurangan. 2 ketiadaan. -kkt. 1 kekurangan. 2 kurang. 3 tak punya. -lacking ks. tak cukup. -kd. karena tak ada sesuatu yang baik untuk dikerjakan, saya tidur saja."
lackadaisical,ks. lesu.
lackey,"kb. 1 pesuruh, antek. 2 kacung, bujang."
lackluster,ks. tidak bersemangat/bersemarak.
laconic,"ks. singkat, pendek. l. reply jawaban yang singkat."
lacquer,"kb. lak(a), pernis, sampang. -kkt. memberi sampang/pernis."
lacrosse,kb. permainan yang memakai bola dan tongkat panjang yang berajut.
lactation,kb. 1 hal menyusukan anak. 2 masa menyusukan anak.
lactic,ks. yang berhubungan dengan susu. l. acid asam susu/laktat.
lacuna,"kb. (j. -nas, -nae). kekosongan."
lad,"kb. anak laki-laki, kacung."
ladder,"kb. tangga, jenjang. to climb the social i. menaiki jenjang kehidupan sosial. ladder-back chair kursi yang tempat bersandarnya berjejak yang melintang."
laden,ks. dimuat. The wagons were l. with produce Kereta itu dimuat dengan hasil bumi. -lading kb. muatan. lih  BILL.
ladies,j. lih  LADY.
ladle,"kb. sendok besar, pencedok, pengerok. -kkt. menyendok. to l. (out) soup menyendok sup."
